OriginalRoll,OriginalPitch,FilteredRoll,FilteredPitch
53.08,-27.18,38.6742,-32.0777
57.79,-25.67,43.8385,-30.3466
61.22,-25.13,48.5342,-28.9373
64.81,-25.16,52.9312,-27.9168
67.42,-23.69,56.8454,-26.7749
69.88,-19.32,60.3668,-24.7609
71.47,-16.66,63.3664,-22.5724
75.05,-10.29,66.5228,-19.2542
78.02,-3.97,69.6288,-15.1251
80.89,4.39,72.6711,-9.85298
83.82,10.71,75.6831,-4.29777
85.37,12.14,78.3,0.142999
89.37,13.4,81.2907,3.72446
90.22,14.5,83.703,6.63554
90.52,15.92,85.5446,9.14379
92.36,17.62,87.3858,11.4337
96.24,21.23,89.7779,14.0802
99.4,23.83,92.3773,16.7142
105.29,26.95,95.8658,19.4795
119.87,27.75,102.351,21.7138
129.32,26.88,109.637,23.1095
136.63,31.2,116.929,25.2952
136.96,36.9,122.341,28.4303
135.38,44.45,125.863,32.7581
134.33,49.64,128.151,37.3189
131.13,61.38,128.955,43.8191
129.79,67.59,129.181,50.241
134.96,72.46,130.742,56.2436
162.92,77.91,139.435,62.0969
-168.63,78.88,56.2095,66.631
-145.7,77.84,1.66239,69.6591
-147.92,77.66,-38.7482,71.8206
-172.51,78.74,-74.8848,73.6899
156.32,74.56,-12.4234,73.925
134.99,70.71,27.4013,73.0564
122.8,68.89,53.1738,71.9309
81.92,62.38,60.9398,69.3506
65.85,57.45,62.2663,66.1356
55.87,51.22,60.5383,62.1061
42.63,34.02,55.7003,54.5184
37.52,19.95,50.7888,45.1796
36.24,5.37,46.8583,34.4248
35.82,-4.13,43.8762,24.009
34.92,-9.06,41.4567,15.0752
30.82,-12.05,38.5831,7.74714
27.76,-10.35,35.6592,2.85808
28.25,-12.98,33.6575,-1.42067
29.64,-16.21,32.5722,-5.4161
42.31,-21.2,35.2029,-9.68022
49.15,-22.94,38.9708,-13.2624
63.46,-23.78,45.5867,-16.1038
73.02,-23.37,52.998,-18.0668
84.68,-20.14,61.5571,-18.6269
93.83,-15.15,70.2758,-17.6876
107.34,-7.52,80.2889,-14.9408
109.91,-1.17,88.2913,-11.2205
110.77,4.06,94.364,-7.09238
112.88,9.76,99.3662,-2.5396
114.59,18.41,103.479,3.12006
112.79,21.21,105.994,8.00717
108.89,26.1,106.777,12.8951
108.41,27.27,107.218,16.7785
105.23,34.88,106.681,21.6688
103.25,39.43,105.754,26.4671
99.21,44.76,103.986,31.409
95.27,47.93,101.631,35.8723
91.4,49.9,98.8673,39.6619
83.38,51.9,94.6833,42.9681
72.18,51.82,88.6039,45.3595
58.2,47.92,80.3901,46.0513
49.55,42.54,72.0585,45.1027
39.27,33.72,63.2005,42.0276
35.2,29.04,55.636,38.5189
32.78,25.49,49.4613,34.9991
30.23,22.75,44.2658,31.6899
29.48,21.55,40.2713,28.9505
27.56,20.19,36.8373,26.5838
24.29,21.27,33.4476,25.1483
22.74,19.98,30.5549,23.752
19.94,18.71,27.6872,22.3899
20.26,18.86,25.6807,21.4363
20.87,19.86,24.381,21.0104
21.23,18.15,23.5298,20.2377
21.77,13.21,23.0544,18.3391
22.55,3.6,22.9181,14.3572
24.07,-4.78,23.2293,9.1872
25.98,-8.34,23.9724,4.45212
30.98,-16.6,25.8656,-1.23524
36.75,-21.92,28.8061,-6.82336
41.6,-25.24,32.2624,-11.7987
54.68,-33.7,38.3187,-17.7155
62.25,-36.35,44.7839,-22.7497
71.42,-37.39,51.9798,-26.7049
82.85,-34.09,60.3196,-28.7
94.59,-25.7,69.5779,-27.8895
104.92,-16.06,79.1258,-24.6937
110.76,-8.74,87.672,-20.3837
116.33,-3.37,95.4141,-15.7874
120.86,-2.75,102.288,-12.2652
125.18,-9.32,108.473,-11.4696
121.36,-13.7,111.954,-12.0721
